Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.07275,-0.229833333,0.891583333,-0.98,0.01,0.241416667,-0.362666667,-0.339416667,-0.330666667,0.676666667,0.837416667,-1.505416667,0.329416667,-0.554916667,-0.398916667,-0.31875,0.708916667,0.237416667,0.226833333,0.595166667,0.50375,-0.638916667,0.239083333,-0.092333333,0.47875,-0.174,0.5655,0.9515,-0.2115,0.55825,0.011666667,-0.29475,0.05975,0.368666667,0.28875,0.045333333,0.425416667,0.88,1.043,0.97725,1.41225,1.034416667,0.696333333,1.339083333,0.44325,1.40975,0.720083333,0.802833333,0.849416667,1.472166667,1.206083333,0.212166667,1.257833333,0.492416667,1.099333333,1.75475,1.233416667,1.596,0.902416667
Albania,0.4075,0.197333333,0.32575,-0.207833333,-0.348833333,0.422583333,-0.076083333,0.056416667,-0.043416667,-0.05425,-0.264583333,-0.139166667,-0.24325,-0.187583333,-0.145416667,-0.677166667,0.438083333,-0.53775,0.235166667,-0.6005,-0.14775,0.309916667,-0.202833333,-0.198166667,0.14125,0.324916667,0.195666667,0.268666667,0.1055,0.791166667,-0.43925,0.338166667,0.331416667,1.272416667,0.034083333,-0.061833333,0.156916667,0.652916667,1.014583333,1.19725,1.108416667,0.948416667,1.037333333,0.635416667,0.16625,0.514166667,1.332083333,1.322833333,1.081166667,1.173166667,1.143916667,1.475666667,1.56125,1.4945,1.67475,1.582166667,1.449583333,2.195666667,2.078333333
Algeria,0.350416667,0,0.23175,-0.00825,-0.031916667,0.28575,-0.093,0.08675,0.150083333,0.167,-0.4085,-0.453166667,-0.007166667,-0.48175,-0.42275,-0.785,0.52975,0.14775,0.48975,0.143666667,0.536666667,0.162,0.74625,0.0375,0.618916667,0.342416667,1.338583333,1.013583333,0.82075,1.053833333,0.056833333,-0.148416667,0.56625,0.781083333,0.848416667,0.85325,1.072166667,1.065416667,1.5845,1.084166667,1.877916667,1.441416667,1.517,1.099916667,1.30125,1.489833333,1.287083333,1.23675,1.338583333,2.323666667,1.296833333,1.267416667,1.206583333,1.772,1.31075,1.929333333,1.472166667,1.437083333,1.31675
American Samoa,-0.03525,-0.116916667,0.106583333,-0.296083333,-0.3885,0.115,-0.360083333,-0.137583333,0.08625,-0.13825,-0.372333333,0.115833333,0.267583333,-0.16125,0.026166667,-0.157666667,0.200333333,0.026583333,0.318333333,0.33675,0.157833333,0.344666667,0.266,0.27275,0.282916667,0.34975,0.410333333,0.422,0.174833333,0.587333333,0.926333333,0.888888889,0.3024,0.0935,0.8881,0.8774,1.20925,-0.3835,0.192909091,0.524818182,0.842,0.9445,0.601090909,0.563416667,0.654,1.023666667,1.286666667,0.738166667,1.234333333,1.013833333,0.8868,0.9576,1.1708,1.084444444,0.822222222,1.527777778,1.272222222,1.127777778,1.45
Andorra,1.036083333,-0.194416667,-0.71975,0.3385,-0.26925,0.355833333,0.357333333,0.198083333,-0.363666667,0.120583333,-0.095166667,-0.510083333,-0.090583333,-0.195833333,-0.012916667,0.056583333,0.0175,-0.19725,0.0195,-0.434416667,0.419833333,0.981333333,0.840333333,-0.220333333,0.067083333,0.391166667,0.475666667,0.721083333,1.42225,1.276416667,0.400916667,0.451916667,0.246333333,1.502166667,1.223,0.507,1.774833333,0.908666667,1.07125,1.287916667,1.070416667,1.249916667,1.860583333,0.911416667,0.595083333,1.708666667,1.00375,0.87725,1.450333333,0.319666667,1.9075,1.17625,0.734916667,1.883166667,1.882166667,1.737916667,1.715833333,2.0715,1.9695
Angola,0.004333333,-0.134333333,-0.15125,-0.271416667,-0.139833333,0.20675,-0.114666667,-0.160333333,0.2075,0.209166667,-0.180333333,0.035666667,0.385666667,-0.207,-0.045583333,-0.320083333,0.2415,0.037666667,0.253416667,0.230416667,-0.005833333,0.136916667,0.415833333,0.6855,0.699583333,0.186416667,0.729333333,0.49075,0.059416667,0.731916667,0.290416667,0.37825,0.346333333,0.272916667,0.755333333,0.475,0.3555,1.1,0.49275,0.140333333,0.3535,0.693833333,0.890416667,0.293666667,0.9745,0.410583333,0.6385,0.397166667,0.510333333,1.057083333,0.651666667,0.480916667,0.902916667,0.759416667,1.279666667,1.519833333,0.802666667,1.2815,1.7435
Anguilla,0.0935,0.080166667,0.314666667,0.0805,-0.235833333,-0.009333333,-0.29475,-0.1875,0.27025,-0.011666667,-0.361666667,-0.195583333,-0.0225,-0.42175,-0.487,-0.455583333,0.027583333,0.035416667,-0.091916667,0.59225,0.430166667,-0.102583333,0.43925,-0.134083333,-0.1755,-0.099166667,0.526916667,0.2025,-0.094333333,0.20975,0.210333333,0.086916667,0.323916667,0.352666667,0.50175,0.136166667,0.522,0.913166667,0.357083333,0.127416667,0.448416667,0.6425,0.6285,0.3265,0.614416667,0.546583333,0.683416667,0.154083333,0.508833333,0.842333333,0.3795,0.552,0.641583333,0.643333333,0.976083333,0.936416667,0.793583333,0.571333333,0.919416667
Antarctica,0.169,-0.285,0.301666667,-0.389416667,-0.084416667,-0.158916667,0.080583333,-0.2125,-0.181583333,-0.0765,0.362833333,0.451416667,-0.036083333,0.485583333,-0.00525,-0.501916667,0.017,-0.108416667,-0.142,0.673083333,0.531833333,0.073916667,-0.908333333,0.44,-0.164083333,-0.175666667,-0.659416667,0.908333333,-0.170083333,0.29725,0.623666667,0.21575,-0.841916667,-0.23725,-0.161666667,0.829416667,-0.602333333,-0.550166667,-0.779666667,-0.5335,-0.01425,1.049916667,-0.16775,0.1355,0.960416667,-0.385916667,0.736083333,0.657333333,1.363333333,0.785166667,0.7175,-0.081083333,1.668666667,0.457666667,-0.164166667,0.362166667,0.64525,1.645,0.51575
Antigua and Barbuda,0.089583333,0.07225,0.334166667,0.063333333,-0.2595,0.038666667,-0.278583333,-0.205583333,0.256,-8.33E-05,-0.375666667,-0.209,0.026,-0.436833333,-0.50525,-0.469083333,0.07175,0.064583333,0.002583333,0.567416667,0.500583333,-0.0185,0.433083333,-0.202666667,-0.175583333,-0.127666667,0.607583333,0.15625,-0.1155,0.176833333,0.23575,0.255,0.338166667,0.296666667,0.572916667,0.193333333,0.556833333,0.929333333,0.426416667,0.180583333,0,0.500571429,0.471428571,0.35425,0.69075,0.519916667,0.671583333,0.128833333,0.439166667,0.953833333,0.45775,0.589083333,0.693,0.611333333,0.988666667,0.960583333,0.823916667,0.56075,0.911666667
Argentina,0.128416667,0.0045,0.05625,-0.425833333,0.01925,-0.165333333,0.172916667,0.335833333,0.381166667,0.351416667,-0.221333333,-0.020583333,-0.215416667,-0.172166667,0.073416667,-0.45325,0.473416667,0.35425,0.160833333,0.3895,0.336,0.396333333,0.094916667,-0.413083333,0.463416667,0.430666667,0.299083333,-0.073,0.595833333,0.315083333,0.1635,-0.256416667,0.089666667,0.593,0.229833333,0.304916667,0.683666667,0.330416667,0.101,-0.23975,0.451583333,0.223833333,0.554916667,0.52675,0.14575,0.6025,-0.260333333,0.588833333,0.677666667,0.13875,0.335833333,0.728166667,0.54575,0.72875,0.95925,0.497083333,1.07025,0.7665,0.72725
