Year,Cold Countries
1961,86
1962,126
1963,105
1964,143
1965,176
1966,70
1967,158
1968,166
1969,63
1970,74
1971,168
1972,106
1973,63
1974,165
1975,145
1976,167
1977,44
1978,62
1979,31
1980,49
1981,44
1982,66
1983,38
1984,97
1985,76
1986,61
1987,37
1988,20
1989,61
1990,8
1991,33
1992,55
1993,48
1994,16
1995,19
1996,43
1997,30
1998,5
1999,9
2000,11
2001,4
2002,4
2003,3
2004,3
2005,2
2006,4
2007,4
2008,4
2009,3
2010,14
2011,4
2012,2
2013,1
2014,1
2015,1
2016,1
2017,0
2018,0
2019,1
